floor,A,B,C,O,symbol,bid_size,bid_price,ask_size,ask_price
11:15:00.000000000,0.92,0.08,,,SPXW__220302P04390000,6,23.90,6,24.30
11:16:00.000000000,0.93,0.00,0.02,0.05,SPXW__220302P04390000,34,24.50,18,25.00
11:17:00.000000000,0.99,0.01,,,SPXW__220302P04390000,5,24.50,6,24.90
11:18:00.000000000,0.98,0.02,,,SPXW__220302P04390000,5,26.00,7,26.60
11:19:00.000000000,1.00,0.00,,,SPXW__220302P04390000,5,26.00,6,26.50
11:20:00.000000000,0.99,0.01,,,SPXW__220302P04390000,14,25.00,1,25.60
11:21:00.000000000,1.00,,,,SPXW__220302P04390000,6,25.30,6,25.70
11:22:00.000000000,0.97,0.03,,,SPXW__220302P04390000,13,26.90,30,27.50
11:23:00.000000000,0.99,,,0.01,SPXW__220302P04390000,15,28.60,30,29.20
11:24:00.000000000,1.00,,,0.00,SPXW__220302P04390000,23,27.20,19,27.80
11:25:00.000000000,1.00,,,,SPXW__220302P04390000,6,25.50,7,26.10
11:26:00.000000000,1.00,,,,SPXW__220302P04390000,32,24.40,11,25.00
11:27:00.000000000,1.00,,,,SPXW__220302P04390000,7,23.10,12,23.70
11:28:00.000000000,0.99,0.01,,,SPXW__220302P04390000,6,22.00,6,22.50
11:29:00.000000000,0.97,0.02,,0.01,SPXW__220302P04390000,6,25.30,6,26.00
11:30:00.000000000,0.99,0.01,,,SPXW__220302P04390000,6,22.30,6,23.00
11:31:00.000000000,0.96,0.04,,,SPXW__220302P04390000,1,17.70,6,18.30
11:32:00.000000000,1.00,,,,SPXW__220302P04390000,17,16.60,7,17.00
11:33:00.000000000,0.89,0.11,,,SPXW__220302P04390000,3,17.80,16,18.40
11:34:00.000000000,0.91,0.06,,0.02,SPXW__220302P04390000,7,19.00,18,19.60
11:35:00.000000000,0.82,,,0.18,SPXW__220302P04390000,6,22.00,14,22.70
11:36:00.000000000,0.94,,,0.06,SPXW__220302P04390000,5,23.20,5,23.70
11:37:00.000000000,0.98,,,0.02,SPXW__220302P04390000,11,22.90,25,23.50
11:38:00.000000000,1.00,,,,SPXW__220302P04390000,5,22.80,34,23.40
11:39:00.000000000,0.99,,,0.01,SPXW__220302P04390000,5,22.10,24,22.60
11:40:00.000000000,1.00,,,,SPXW__220302P04390000,12,20.70,6,21.10
11:41:00.000000000,1.00,,,,SPXW__220302P04390000,12,23.60,5,24.00
11:42:00.000000000,0.99,,,0.01,SPXW__220302P04390000,32,24.40,5,25.00
11:43:00.000000000,1.00,,,,SPXW__220302P04390000,6,25.20,6,25.70
11:44:00.000000000,1.00,,,,SPXW__220302P04390000,11,28.00,5,28.60
11:45:00.000000000,1.00,,,,SPXW__220302P04390000,20,24.80,24,25.40
